ÓBIDOS   
 obs upstream area=4.67e+06 
 mod upstream area=4.61644e+06 
 mod gridbox area=2.55505e+09 
 obs longitude=-55.5131 
 obs latitude=-1.9192
 datem rflowobs rflowS0_rescale rflowS1_rescale rflowS2_rescale rflowS3_rescale
 1913.62 -999.0 107795.288445 107877.373442 107903.958389 107903.958389
 1913.71 -999.0 76676.1200312 76739.1208678 76760.7422003 76760.7422003
 1913.79 -999.0 58418.4092094 58481.1933994 58495.3813458 58495.3813458
 1913.87 -999.0 50495.1994516 50559.2257489 50576.7163526 50576.7163526
 1913.96 -999.0 57245.0751959 57300.0167783 57351.8386494 57351.8386494
 1914.04 -999.0 70472.2948671 70558.7272391 70623.4323625 70623.4323625
 1914.12 -999.0 95492.1099311 95650.6952558 95723.0841126 95723.0841126
 1914.2 -999.0 128656.355022 128837.327164 128930.841473 128930.841473
 1914.29 -999.0 149142.362973 149314.688508 149384.699066 149384.699066
 1914.37 -999.0 145282.037981 145442.953461 145496.672193 145496.672193
 1914.45 -999.0 139222.239489 139370.262087 139414.429111 139414.429111
 1914.54 -999.0 124119.466713 124239.074904 124280.892515 124280.892515
 1914.62 -999.0 95477.5609071 95576.688771 95600.076977 95600.076977
 1914.71 -999.0 72347.5494812 72426.2259043 72439.9372281 72439.9372281
 1914.79 -999.0 56129.0081051 56198.4216817 56210.0146829 56210.0146829
 1914.87 -999.0 47693.1691188 47761.4272467 47781.3828075 47781.3828075
 1914.96 -999.0 53576.8772395 53645.6456905 53698.5604235 53698.5604235
 1915.04 -999.0 68011.9836527 68127.9232942 68187.0100486 68187.0100486
 1915.12 -999.0 92023.3953666 92206.7265495 92284.1897515 92284.1897515
 1915.2 -999.0 115059.825082 115224.043219 115318.68409 115318.68409
 1915.29 -999.0 146939.875678 147102.822821 147209.210754 147209.210754
 1915.37 -999.0 159919.338276 160119.539009 160165.034799 160165.034799
 1915.45 -999.0 139678.805387 139845.604026 139874.519128 139874.519128
 1915.54 -999.0 134262.755471 134399.156182 134436.72752 134436.72752
 1915.62 -999.0 112900.387877 112997.46482 113027.150221 113027.150221
 1915.71 -999.0 94202.7833181 94275.6632405 94299.0803328 94299.0803328
